,sampno,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,p2o5,rock_type
577,2159229,57.72,0.69,13.7,6.44,6.76,4.79,0.182031,3.15,0.239,diorite
578,2159230,66.17,0.37,13.8,3.77,2.82,1.76,0.082624,5.81,0.192,granite
580,2159231,72.09,0.14,13.9,1.56,0.53,1.11,0.037439,6.05,0.152,granite
581,2159232,72.09,0.23,14.1,2.05,0.75,0.85,0.02582,4.02,0.109,granite
582,2159233,73.12,0.17,13.8,1.61,0.64,0.82,0.034857,3.6,0.109,granite
583,2159234,74.02,0.1,14.1,1.61,0.55,0.53,0.032275,4.07,0.176,granite
584,2159235,74.59,0.07,14.1,1.23,0.33,0.43,0.027111,5.08,0.21,granite
585,2159236,72.12,0.21,14.1,2.55,1,0.61,0.040021,4.6,0.204,granite
586,2159237,74.55,0.08,14.1,1.17,0.33,0.48,0.023238,4.74,0.191,granite
587,2159238,75.37,0.05,13.6,0.96,0.18,0.36,0.018074,5.38,0.21,granite
588,2159239,75.09,0.04,13.8,0.85,0.23,0.44,0.018074,5.05,0.208,granite
589,2159240,76.79,0.06,12.7,1.12,0.32,0.52,0.032275,4.15,0.144,granite
591,2138089,75.53,0.05,13.5,1.13,0.32,0.62,0.027111,4.28,0.148,granite
592,2159241,75.7,0.06,13.3,0.77,0.33,0.87,0.036148,4.71,0.144,granite
593,2159242,73.83,0.18,14.3,1.06,0.5,0.89,0.045185,3.59,0.111,granite
594,2159243,70.56,0.31,14.4,2.66,1.96,1.09,0.136846,2.31,0.101,granite
595,2159244,64.87,0.59,14.3,4.27,3.98,2.1,0.18074,2.65,0.15,diorite
596,2159245,55.92,1.08,16.6,6.59,5.13,3.82,0.213015,4.12,0.343,diorite
597,2159246,52.25,0.99,16.1,8.8,6.11,5.73,0.197523,3.8,0.366,diorite
598,2159247,53.24,1.12,17.1,7.34,5.41,4.31,0.211724,4.48,0.588,diorite
600,2138090,58.3,0.98,16.7,5.97,4.24,4.13,0.135555,3.69,0.79,diorite
601,2159248,57.52,0.73,17,6.08,2.92,2.72,0.311131,4.21,0.438,diorite
602,2159249,51.95,0.88,17,9.58,2.56,4.4,0.37439,3.74,0.463,diorite
604,2159250,69.05,0.37,14.6,2.72,1.2,1.73,0.080042,4.09,0.165,granite
606,2159251,69.41,0.34,14.6,2.65,1.21,1.31,0.087788,4.52,0.258,granite
607,2159252,60.23,0.44,15.9,5.79,1.65,3.13,0.251745,4.48,0.189,diorite
609,2159253,62.05,0.48,15.4,6.94,1.32,1.91,0.218179,5.22,0.27,diorite
