,sample_id,rock_name,qap_name,major_id,method_id,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,na2o,p2o5,rock_type
15469,568050,dacite,monzogranite,510155,1,68.3,0.48,14.0,0.89,0.34,1.61,0.07,5.53,3.27,0.08,granite
15470,568051,rhyodacite,monzogranite,594738,1,75.0,0.07,13.3,0.41,0.03,0.54,0.04,4.8,3.78,0.01,granite
15471,568052,rhyolite,monzogranite,600614,1,75.5,0.16,12.4,1.64,0.07,0.75,0.01,5.07,2.81,0.01,granite
15472,568053,rhyolite,monzogranite,555687,1,72.0,0.28,12.5,1.14,0.2,0.94,0.04,5.71,2.83,0.03,granite
15473,568054,rhyolite,monzogranite,592450,1,74.8,0.12,11.9,0.88,0.04,0.63,0.02,5.53,2.63,0.01,granite
15474,568057,gabbro,diorite,187158,1,49.5,0.13,23.0,1.0,7.2,13.6,0.2,0.1,1.5,0.02,diorite
15475,568060,granite,monzogranite,581309,1,73.9,0.22,13.4,0.4,0.42,1.2,0.04,5.8,1.0,0.07,granite
15476,568061,granite,monzogranite,574568,1,73.4,0.21,13.4,0.39,0.54,1.4,0.07,5.1,2.2,0.07,granite
15477,568063,granite,monzogranite,577359,1,73.6,0.26,13.7,0.78,0.43,0.55,0.07,5.5,2.7,0.08,granite
15478,568064,granite,monzogranite,595039,1,75.0,0.21,12.9,0.36,0.4,0.71,0.04,5.0,2.6,0.07,granite
15479,568065,granite,monzogranite,609615,1,76.4,0.17,12.3,0.48,0.29,0.89,0.06,4.3,2.8,0.05,granite
15480,568066,granite,monzogranite,517013,1,68.9,0.49,14.8,0.67,0.88,1.8,0.06,5.9,2.5,0.17,granite
15481,568068,granite,monzogranite,491005,1,66.6,0.44,15.3,0.85,1.5,2.8,0.06,5.1,2.5,0.16,granite
15482,568069,granite,monzogranite,566607,1,72.8,0.34,13.0,0.62,0.61,1.5,0.06,5.0,2.4,0.12,granite
15483,568070,granite,monzogranite,595089,1,75.0,0.24,13.0,0.36,0.45,0.5,0.04,5.6,2.2,0.08,granite
15484,568071,granite,monzogranite,542885,1,71.0,0.44,13.4,0.58,1.0,2.0,0.06,4.0,2.6,0.16,granite
15485,568072,granite,monzogranite,518257,1,69.0,0.51,14.4,0.85,1.1,1.9,0.06,4.7,2.7,0.17,granite
15487,568074,granite,monzogranite,574756,1,73.4,0.32,13.3,0.36,0.59,0.69,0.07,4.8,2.4,0.09,granite
15488,568075,granite,monzogranite,579707,1,73.8,0.1,12.3,2.5,0.1,0.93,0.02,4.1,3.6,0.04,granite
15489,568076,granite,monzogranite,555734,1,72.0,0.3,13.2,0.84,0.6,1.8,0.08,5.1,2.5,0.11,granite
15493,568090,granite,monzogranite,510250,1,68.3,0.56,15.2,0.89,1.3,2.3,0.07,4.1,2.7,0.15,granite
15494,568092,rhyolite,monzogranite,554294,1,71.9,0.27,14.0,0.64,0.72,1.1,0.05,4.9,3.0,0.09,granite
15496,568094,granite,monzogranite,594705,1,75.0,0.05,13.2,0.83,0.1,0.35,0.03,5.3,2.6,0.02,granite
15497,568095,granite,monzogranite,592489,1,74.8,0.13,13.1,0.15,0.16,0.75,0.03,5.4,2.4,0.04,granite
15498,568096,granite,monzogranite,574512,1,73.4,0.18,13.4,0.42,0.33,1.2,0.05,4.4,2.7,0.06,granite
15499,568099,granite,monzogranite,592544,1,74.8,0.15,13.7,0.5,0.28,0.29,0.05,5.1,2.6,0.05,granite
15500,568100,granite,monzogranite,560898,1,72.4,0.21,14.2,0.42,0.42,1.1,0.05,5.0,2.6,0.06,granite
15501,568101,granite,monzogranite,541559,1,70.9,0.44,14.1,0.76,0.83,0.97,0.06,4.8,2.1,0.12,granite
15502,568102,granite,monzogranite,574610,1,73.4,0.23,13.3,0.5,0.42,0.85,0.06,5.0,2.5,0.07,granite
15503,568103,granite,monzogranite,588840,1,74.5,0.13,13.0,0.28,0.24,0.82,0.04,5.2,2.4,0.03,granite
15504,568104,granite,monzogranite,600511,1,75.5,0.11,12.9,0.53,0.24,0.81,0.05,4.7,2.6,0.04,granite
15505,568105,granite,monzogranite,600378,1,75.5,0.02,13.2,0.35,0.03,0.45,0.04,6.0,2.5,0.02,granite
15506,568107,granite,monzogranite,591226,1,74.7,0.09,13.0,0.29,0.2,0.81,0.05,5.1,2.7,0.05,granite
15507,568108,granite,monzogranite,579803,1,73.8,0.15,13.7,0.26,0.33,1.3,0.07,4.6,2.7,0.06,granite
15508,568109,granite,monzogranite,545307,1,71.2,0.32,14.4,0.14,0.7,1.4,0.06,4.8,2.1,0.11,granite
15509,568113,granite,monzogranite,510097,1,68.3,0.44,14.8,2.1,0.85,2.0,0.1,4.8,3.2,0.31,granite
15510,568114,rhyolite,monzogranite,598247,1,75.3,0.06,13.3,1.0,0.15,0.14,0.09,4.7,3.9,0.02,granite
15514,568124,rhyolite,monzogranite,541561,1,70.9,0.44,14.2,1.3,0.38,0.54,0.02,5.0,2.6,0.08,granite
15516,568135,adamellite,monzogranite,594044,1,74.9,1.1,12.8,0.69,0.17,1.0,0.05,4.4,3.3,0.03,granite
15517,568137,granodiorite,monzogranite,530076,1,70.0,0.43,14.7,1.4,0.7,1.3,0.05,4.7,4.0,0.12,granite
15518,568138,granodiorite,monzogranite,530096,1,70.0,0.44,15.0,1.2,0.61,1.2,0.04,4.9,3.8,0.12,granite
15519,568139,adamellite,monzogranite,560821,1,72.4,0.16,15.3,0.82,0.22,1.3,0.04,4.0,4.1,0.04,granite
15520,568188,diorite,diorite,95872,1,46.5,4.0,17.6,3.9,4.1,11.6,0.17,0.6,2.7,0.17,diorite
15521,568194,diorite,diorite,209894,1,50.0,2.2,12.7,1.4,6.6,10.0,0.18,0.5,3.4,0.22,diorite
15524,568263,andesite,monzogranite,319767,1,53.5,0.69,17.2,6.2,1.9,1.4,0.13,1.7,1.2,0.06,granite
15525,568282,andesite,syenogranite,191451,1,49.6,0.83,18.5,2.0,0.1,0.1,0.06,3.7,0.9,0.08,granite
15526,568307,rhyolite,monzogranite,538730,1,70.7,0.25,17.0,1.1,0.5,1.7,0.03,4.07,3.6,0.04,granite
15527,568310,rhyolite,monzogranite,561009,1,72.4,0.26,14.3,1.5,0.21,1.3,0.02,4.46,3.5,0.09,granite
15528,568312,dacite,monzogranite,545317,1,71.2,0.32,15.1,1.7,0.41,1.8,0.07,4.27,3.8,0.11,granite
15529,568323,monzonite,monzogranite,551618,1,71.7,0.23,14.9,0.79,0.24,0.9,0.04,4.22,4.6,0.05,granite
15530,568328,rhyolite,monzogranite,567664,1,72.9,0.18,13.8,0.5,0.24,1.0,0.05,4.54,3.5,0.03,granite
15540,568339,rhyolite,monzogranite,545059,1,71.2,0.18,12.6,1.4,0.19,2.4,0.07,4.8,3.9,0.03,granite
15541,568340,rhyolite,monzogranite,601621,1,75.6,0.15,12.3,1.4,0.15,0.51,0.05,4.5,3.3,0.04,granite
15544,568347,rhyolite,monzogranite,509886,1,68.3,0.22,13.9,1.0,0.84,2.2,0.11,5.0,2.0,0.02,granite
15545,568348,rhyolite,monzogranite,527633,1,69.8,0.42,15.5,0.78,0.75,2.6,0.04,4.5,3.0,0.11,granite
15546,568350,diorite,monzogranite,439799,1,62.1,0.72,15.5,2.1,2.8,4.0,0.09,4.2,2.4,0.21,granite
15548,568352,monzonite,monzogranite,521731,1,69.3,0.47,15.5,0.46,0.77,2.6,0.05,4.3,2.9,0.1,granite
15549,568353,granodiorite,monzogranite,479194,1,65.5,0.64,16.0,0.83,1.5,3.3,0.05,4.4,3.1,0.19,granite
15551,568355,monzonite,monzogranite,467162,1,64.4,1.3,15.4,2.0,1.2,4.0,0.09,4.0,2.6,0.5,granite
15552,568357,monzonite,monzogranite,503478,1,67.7,0.95,14.3,2.1,0.8,3.0,0.09,4.2,2.8,0.36,granite
15553,568358,granite,monzogranite,568000,1,72.9,0.35,14.0,1.4,0.1,1.2,0.06,5.6,2.6,0.07,granite
15554,568359,granite,monzogranite,539088,1,70.7,0.51,14.0,2.1,0.4,2.4,0.06,5.5,2.6,0.14,granite
15556,568364,granite,monzogranite,527816,1,69.8,0.62,13.8,2.3,0.8,2.2,0.09,4.9,2.8,0.28,granite
15557,568365,granite,monzogranite,523088,1,69.4,0.74,14.2,2.4,0.8,2.6,0.08,4.6,2.8,0.3,granite
15558,568366,granite,monzogranite,540350,1,70.8,0.52,13.8,1.2,0.5,1.5,0.03,5.0,2.9,0.24,granite
15559,568367,diabase,diorite,118821,1,47.5,1.2,17.2,6.7,6.0,10.1,0.12,0.4,2.7,0.24,diorite
15560,568368,monzonite,syenogranite,497585,1,67.2,0.47,15.8,1.2,2.5,0.94,0.01,5.46,0.93,0.14,granite
15561,568369,monzonite,monzogranite,462151,1,64.0,0.51,15.1,2.0,3.5,3.5,0.02,4.09,1.5,0.16,granite
15563,568398,aplite,monzogranite,598413,1,75.3,0.14,13.6,0.14,0.24,0.82,0.02,6.1,2.6,0.06,granite
15564,568406,aplite,monzogranite,560964,1,72.4,0.24,13.8,1.1,0.63,1.5,0.08,4.6,2.9,0.19,granite
15565,568430,granodiorite,monzogranite,612094,1,76.7,0.12,12.6,0.5,0.16,0.82,0.02,4.5,3.7,0.01,granite
15566,568431,granodiorite,monzogranite,608512,1,76.3,0.08,12.5,0.4,0.1,0.79,0.02,4.4,3.9,0.02,granite
15568,568440,granite,monzogranite,575952,1,73.5,0.23,13.9,0.57,0.5,1.6,0.06,3.9,3.7,0.06,granite
15569,568443,monzonite,monzogranite,542796,1,71.0,0.38,14.8,0.88,0.88,0.69,0.06,4.0,3.4,0.11,granite
15574,568454,granite,monzogranite,576000,1,73.5,0.25,14.1,0.85,0.29,1.3,0.06,4.6,3.8,0.06,granite
15575,568455,granite,monzogranite,593747,1,74.9,0.14,14.5,0.23,0.09,0.66,0.03,4.6,3.9,0.01,granite
15576,568457,granodiorite,monzogranite,505374,1,67.9,0.39,15.7,0.56,1.8,3.1,0.09,4.0,3.5,0.19,granite
15577,568464,monzonite,monzogranite,513481,1,68.6,0.43,15.3,0.96,1.4,2.9,0.04,4.1,3.3,0.1,granite
15578,568465,granodiorite,monzogranite,494204,1,66.9,0.44,16.1,1.2,1.6,2.8,0.06,4.2,3.6,0.16,granite
15581,568470,granite,monzogranite,593780,1,74.9,0.16,13.7,0.54,0.23,1.4,0.13,3.7,3.7,0.04,granite
15584,568477,monzonite,monzogranite,562478,1,72.5,0.31,14.7,0.67,0.31,0.66,0.03,4.6,3.3,0.11,granite
15587,568484,monzonite,monzogranite,536595,1,70.5,0.54,15.5,0.55,0.64,2.6,0.04,4.1,3.0,0.17,granite
15588,568487,granodiorite,monzogranite,549262,1,71.5,0.31,14.9,0.74,0.44,1.9,0.04,4.5,3.3,0.08,granite
15590,568494,granite,monzogranite,581065,1,73.9,0.11,14.0,0.49,0.07,1.0,0.04,4.1,3.6,0.02,granite
15591,568501,monzonite,monzogranite,530154,1,70.0,0.48,16.9,0.26,0.14,0.72,0.11,5.5,4.5,0.01,granite
15593,568503,monzonite,monzogranite,549339,1,71.5,0.35,14.8,0.7,0.82,2.4,0.04,3.6,3.5,0.09,granite
15595,568521,rhyolite,monzogranite,593718,1,74.9,0.13,13.2,0.35,0.13,0.85,0.04,5.1,3.6,0.02,granite
15596,568522,rhyolite,monzogranite,573201,1,73.3,0.19,13.0,1.6,0.08,0.31,0.05,5.2,4.2,0.04,granite
15597,568523,rhyolite,monzogranite,546444,1,71.3,0.23,14.6,1.0,0.4,1.7,0.07,4.9,3.4,0.14,granite
15598,568524,latite,syenogranite,503364,1,67.7,0.6,16.2,3.0,0.38,0.28,0.02,7.2,1.5,0.16,granite
15599,568530,andesite,monzogranite,511337,1,68.4,0.58,15.1,1.2,0.87,2.1,0.05,4.76,3.6,0.14,granite
15600,568534,granodiorite,monzogranite,550662,1,71.6,0.4,14.1,1.0,0.6,2.1,0.04,4.71,2.7,0.11,granite
15601,568536,granodiorite,monzogranite,599661,1,75.4,0.22,13.3,0.43,0.22,1.1,0.02,5.36,2.2,0.05,granite
15607,568576,andesite,monzogranite,497721,1,67.2,0.57,15.7,4.6,0.38,1.6,0.01,4.65,3.5,0.3,granite
15611,568589,monzonite,monzogranite,423251,1,60.8,0.77,15.2,3.3,3.6,1.0,0.06,4.4,2.1,0.54,granite
15612,568591,monzonite,syenogranite,444709,1,62.5,0.77,15.6,2.5,3.8,0.68,0.06,7.8,0.86,0.44,granite
15613,568595,monzonite,syenogranite,513726,1,68.6,0.67,14.5,0.79,2.2,0.3,0.04,8.8,0.73,0.15,granite
15614,568597,monzonite,syenogranite,493349,1,66.8,0.59,15.6,0.76,2.0,0.13,0.05,9.4,1.1,0.07,granite
15615,568600,monzonite,monzogranite,485470,1,66.1,0.42,16.0,2.9,1.9,0.68,0.07,6.0,3.1,0.22,granite
15618,568612,granodiorite,monzogranite,480060,1,65.6,0.43,16.2,0.32,1.9,4.2,0.06,4.5,1.5,0.16,granite
15620,568636,dacite,monzogranite,485444,1,66.1,0.4,15.6,1.1,1.1,2.5,0.06,4.9,2.6,0.12,granite
15622,568651,,monzogranite,486660,1,66.2,0.52,13.8,1.3,1.63,2.93,0.01,4.73,3.07,0.16,granite
15623,568652,,monzogranite,472504,1,64.9,0.63,15.0,1.21,1.0,3.57,0.01,4.03,2.85,0.26,granite
15624,568653,,monzogranite,427024,1,61.1,0.62,16.0,1.58,0.85,5.07,0.01,5.55,0.15,0.27,granite
15627,568661,andesite,monzogranite,492293,1,66.7,0.63,15.4,3.9,0.78,1.8,0.02,5.84,2.4,0.23,granite
15628,568670,monzonite,monzogranite,570502,1,73.1,0.2,13.7,0.64,0.22,1.5,0.05,4.7,3.3,0.06,granite
15629,568672,monzonite,monzogranite,577266,1,73.6,0.21,14.1,0.73,0.44,1.5,0.05,3.8,3.7,0.09,granite
15630,568673,monzonite,monzogranite,608451,1,76.3,0.05,13.1,0.37,0.05,0.59,0.08,5.7,2.8,0.02,granite
15631,568674,monzonite,monzogranite,598301,1,75.3,0.09,13.5,0.19,0.15,1.1,0.04,4.6,3.1,0.04,granite
15632,568679,monzonite,monzogranite,578465,1,73.7,0.16,14.2,0.59,0.2,1.1,0.02,4.8,3.2,0.05,granite
15633,568680,monzonite,monzogranite,569087,1,73.0,0.2,15.0,0.33,0.39,1.4,0.08,4.2,3.5,0.1,granite
15634,568684,monzonite,monzogranite,541457,1,70.9,0.36,15.2,1.0,0.67,2.5,0.04,3.8,3.1,0.12,granite
15635,568685,monzonite,monzogranite,570576,1,73.1,0.23,14.3,0.45,0.56,2.0,0.06,4.2,2.9,0.06,granite
15636,568686,monzonite,monzogranite,572045,1,73.2,0.27,13.5,1.4,0.52,1.1,0.07,5.5,2.3,0.07,granite
15637,568688,monzonite,monzogranite,578674,1,73.7,0.24,13.7,0.44,0.41,1.6,0.04,4.3,3.1,0.06,granite
15639,568690,monzonite,monzogranite,566345,1,72.8,0.21,14.6,0.43,0.39,1.5,0.08,4.0,3.5,0.1,granite
15640,568700,gabbro,diorite,72126,1,45.1,0.54,16.9,4.4,9.3,12.6,0.18,0.3,0.45,0.06,diorite
15641,568704,,monzogranite,577392,1,73.6,0.28,12.9,0.35,0.08,1.5,0.08,5.6,3.1,0.02,granite
15642,568710,granite,monzogranite,587714,1,74.4,0.2,14.8,0.47,0.44,1.6,0.07,4.3,3.6,0.03,granite
15643,568711,diorite,diorite,247024,1,50.8,0.61,19.3,3.5,4.4,9.0,0.17,0.98,3.2,0.39,diorite
15644,568712,diorite,diorite,86278,1,46.0,1.4,17.6,6.5,5.9,11.1,0.22,0.57,1.6,0.1,diorite
15645,568713,diorite,diorite,183261,1,49.4,0.38,18.6,3.4,5.4,9.5,0.21,1.0,2.7,0.36,diorite
15646,568715,anorthosite,diorite,99214,1,46.7,0.49,28.0,2.5,1.9,13.2,0.05,0.2,2.3,0.07,diorite
15647,568722,monzonite,monzogranite,551514,1,71.7,0.17,15.6,1.4,0.32,1.5,0.03,3.9,3.9,0.14,granite
15648,568723,monzonite,monzogranite,505628,1,67.9,0.62,15.8,2.1,1.2,3.3,0.07,4.0,3.3,0.15,granite
15650,568740,monzonite,monzogranite,546529,1,71.3,0.27,15.0,1.1,0.5,2.1,0.02,4.1,3.9,0.13,granite
15651,568743,monzonite,monzogranite,556968,1,72.1,0.23,14.7,1.1,0.31,1.7,0.1,4.3,3.8,0.11,granite
15652,568745,granodiorite,monzogranite,515724,1,68.8,0.39,15.4,1.7,1.1,2.9,0.1,3.9,3.4,0.17,granite
15653,568747,monzonite,monzogranite,593840,1,74.9,0.19,13.6,0.77,0.22,0.75,0.05,4.5,4.2,0.04,granite
15654,568749,alaskite,monzogranite,613625,1,76.9,0.06,13.0,0.23,0.04,0.54,0.04,4.7,3.3,0.02,granite
15655,568751,monzonite,monzogranite,561055,1,72.4,0.28,14.1,0.84,0.38,1.2,0.06,4.3,4.1,0.08,granite
15656,568762,granite,monzogranite,497579,1,67.2,0.47,15.3,0.7,1.5,3.6,0.14,4.3,2.9,0.14,granite
15658,568767,granite,monzogranite,573526,1,73.3,0.4,12.9,0.9,0.74,0.87,0.07,4.9,2.6,0.19,granite
15660,568776,granite,monzogranite,592439,1,74.8,0.11,13.4,1.2,0.35,0.66,0.07,4.3,2.5,0.02,granite
15661,568778,granite,monzogranite,597180,1,75.2,0.12,13.3,0.55,0.19,0.86,0.07,5.1,2.6,0.01,granite
15662,568779,granite,monzogranite,597197,1,75.2,0.13,12.8,0.7,0.25,0.49,0.07,4.5,3.0,0.05,granite
15663,568782,granite,monzogranite,605540,1,76.0,0.08,12.9,0.32,0.28,0.62,0.03,6.8,2.8,0.01,granite
15664,568783,granite,monzogranite,587644,1,74.4,0.17,13.3,0.7,0.4,0.33,0.07,5.4,2.4,0.03,granite
15665,568784,granite,monzogranite,574609,1,73.4,0.23,13.0,0.7,0.5,0.92,0.07,4.8,2.4,0.03,granite
15666,568785,granite,monzogranite,594921,1,75.0,0.16,12.7,1.3,0.28,0.89,0.07,4.6,2.3,0.06,granite
15667,568787,granite,monzogranite,574774,1,73.4,0.35,14.0,0.8,0.86,1.2,0.07,4.8,2.3,0.08,granite
15668,568789,monzonite,monzogranite,606589,1,76.1,0.08,13.4,0.5,0.28,0.66,0.07,4.5,2.8,0.03,granite
15669,568790,granite,monzogranite,601670,1,75.6,0.17,13.3,0.77,0.38,1.1,0.03,5.1,3.0,0.02,granite
15670,568791,granite,monzogranite,593739,1,74.9,0.14,13.2,0.64,0.25,0.39,0.07,4.6,3.1,0.03,granite
15671,568793,granite,monzogranite,587629,1,74.4,0.16,14.1,1.2,0.35,1.0,0.03,4.3,3.0,0.06,granite
15672,568795,granite,monzogranite,540209,1,70.8,0.38,15.5,1.3,1.1,1.9,0.07,3.7,3.1,0.16,granite
15673,568796,granite,monzogranite,599670,1,75.4,0.23,14.0,0.7,0.44,0.49,0.03,5.3,2.4,0.05,granite
15674,568803,granite,monzogranite,486583,1,66.2,0.46,16.3,1.3,1.1,2.8,0.03,5.0,3.3,0.16,granite
15675,568808,aplite,monzogranite,610530,1,76.5,0.18,12.8,0.47,0.35,0.56,0.07,4.7,3.9,0.02,granite
15676,568812,granite,monzogranite,571970,1,73.2,0.23,14.1,0.5,0.32,1.0,0.09,4.5,3.5,0.1,granite
