,sample_id,rock_name,qap_name,major_id,method_id,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,na2o,p2o5,rock_type
6,51,bt granite,monzogranite,583272,5254,74.05,0.25,13.77,0.29,0.29,1.37,0.05,4.0,3.46,0.06,granite
7,52,coarse-grained bt granite,monzogranite,521229,5254,69.28,0.31,14.91,0.53,0.88,2.23,0.08,4.43,3.15,0.1,granite
153,381,granite,monzogranite,537177,5379,70.57,0.39,14.78,0.4,0.77,2.6,0.09,3.57,3.18,0.11,granite
154,382,granite,monzogranite,565484,5379,72.72,0.11,14.67,0.56,0.21,1.2,0.07,4.63,3.76,0.06,granite
155,383,granite,monzogranite,588241,5379,74.44,0.1,14.07,0.4,0.24,1.24,0.05,4.28,3.6,0.06,granite
156,384,granite,monzogranite,586099,5379,74.29,0.07,14.04,0.24,0.11,1.11,0.05,4.77,3.66,0.05,granite
157,385,granite,monzogranite,596920,5379,75.18,0.07,13.68,0.16,0.08,0.95,0.04,4.85,3.5,0.02,granite
158,386,granite,monzogranite,601099,5379,75.54,0.12,13.32,0.32,0.14,0.87,0.04,4.31,3.43,0.05,granite
159,387,granite,monzogranite,610713,5379,76.52,0.05,12.79,1.27,0.03,0.66,0.03,4.88,3.54,-0.01,granite
160,388,granite,monzogranite,613455,5379,76.88,0.03,12.79,1.28,0.03,0.64,0.03,4.11,4.15,-0.01,granite
161,389,granite,monzogranite,612453,5379,76.74,0.04,13.02,1.07,0.05,0.67,0.03,4.84,3.6,-0.01,granite
162,390,granite,monzogranite,617067,5379,77.38,0.05,12.67,0.98,0.04,0.61,0.02,4.54,3.76,-0.01,granite
163,391,granite,monzogranite,612451,5379,76.74,0.03,12.65,0.9,0.04,0.6,0.02,5.07,3.34,-0.01,granite
164,392,granite,monzogranite,615655,5379,77.15,0.04,12.4,1.01,0.06,0.72,0.03,4.72,3.36,-0.01,granite
165,393,granite,monzogranite,611679,5379,76.64,0.11,12.49,1.46,0.09,1.15,0.03,4.25,3.31,0.01,granite
166,394,granite,monzogranite,606011,5379,76.02,0.05,12.61,1.05,0.0,0.69,0.03,4.78,3.63,-0.01,granite
167,395,granite,monzogranite,607512,5379,76.2,0.05,12.69,1.13,0.01,0.7,0.03,4.85,3.58,-0.01,granite
168,398,granitoid,monzogranite,530713,5379,70.03,0.29,14.83,0.4,0.7,2.29,0.07,5.1,3.05,0.09,granite
169,399,granitoid,monzogranite,556982,5379,72.1,0.24,14.36,0.48,0.47,2.2,0.04,3.82,3.46,0.07,granite
170,400,granitoid,monzogranite,569785,5379,73.04,0.15,15.28,0.32,0.26,1.93,0.06,4.02,3.01,0.04,granite
171,401,granitoid,monzogranite,564493,5379,72.67,0.14,14.94,0.4,0.19,1.82,0.04,4.35,3.05,0.03,granite
172,402,granitoid,monzogranite,575004,5379,73.42,0.26,13.66,0.6,0.51,1.53,0.07,4.22,3.14,0.09,granite
173,403,granitoid,monzogranite,607328,5379,76.17,0.1,13.06,0.16,0.06,1.09,0.02,4.49,3.29,0.02,granite
174,404,granitoid,monzogranite,589508,5379,74.54,0.14,14.06,0.28,0.29,1.12,0.08,4.16,3.29,0.04,granite
175,405,granitoid,monzogranite,594435,5379,74.96,0.12,13.92,0.36,0.27,1.22,0.07,4.5,2.93,0.03,granite
228,518,granitoid,monzogranite,601937,4989,75.61,0.12,12.4,0.57,0.25,0.73,0.02,5.18,3.62,0.03,granite
229,524,gabbroid,monzogranite,543165,4989,71.02,0.28,13.62,1.6,0.54,1.97,0.06,4.99,3.99,0.09,granite
230,526,granitoid,monzogranite,554844,4989,71.93,0.22,12.64,1.1,0.45,1.1,0.05,5.19,3.95,0.07,granite
266,624,bt monzogranite,monzogranite,600163,4989,75.46,0.05,13.21,0.3,0.07,0.45,0.01,5.14,3.63,0.02,granite
267,626,hbl ghabbro,diorite,193991,4989,49.65,1.03,19.21,4.51,4.43,9.11,0.14,0.99,3.27,0.17,diorite
268,628,hbl diorite,diorite,234637,4989,50.52,1.14,17.09,4.24,4.62,8.39,0.2,0.46,3.94,0.21,diorite
269,631,ditto,monzogranite,576827,4989,73.58,0.14,14.14,0.78,0.32,1.61,0.06,4.1,3.66,0.06,granite
270,633,bt monzogranite,monzogranite,602139,4989,75.64,0.13,12.98,0.64,0.21,0.64,0.04,5.14,3.5,0.03,granite
271,634,ditto,monzogranite,600096,4989,75.45,0.12,13.22,0.62,0.31,1.42,0.05,3.85,3.85,0.04,granite
272,641,bt granodiorite,monzogranite,535805,2242,70.46,0.32,15.76,0.6,1.08,0.9,0.07,3.62,3.53,0.09,granite
285,679,equigranular granite,monzogranite,587311,5383,74.39,0.12,13.89,0.0,0.28,1.52,0.05,4.03,3.82,0.04,granite
286,681,granite porphyry,monzogranite,588624,5383,74.49,0.11,12.86,0.53,0.13,1.22,0.02,4.46,3.26,0.02,granite
287,682,granite porphyry,monzogranite,605058,5383,75.93,0.07,12.57,0.03,0.07,0.9,0.03,4.76,3.32,-0.01,granite
288,703,coarse bt tonalite,monzogranite,450331,5379,62.98,1.09,13.98,1.28,3.99,2.41,0.11,3.56,2.44,0.14,granite
322,950,granite,monzogranite,516300,5387,68.84,0.61,14.25,1.85,1.47,3.26,0.07,3.85,3.39,0.11,granite
323,955,granodiorite,monzogranite,549799,5387,71.54,0.4,14.33,1.04,0.64,1.74,0.08,3.77,3.84,0.03,granite
324,963,granite,monzogranite,592916,5387,74.81,0.17,13.06,0.71,0.23,0.92,0.05,4.14,3.98,0.06,granite
325,964,granite,monzogranite,605382,5387,75.98,0.18,12.71,0.6,0.19,0.87,0.06,3.65,4.18,0.06,granite
326,965,granite,monzogranite,615859,5387,77.19,0.17,12.33,0.52,0.17,1.03,0.02,3.96,3.51,0.05,granite
327,966,granite,monzogranite,592150,5387,74.77,0.23,12.84,0.75,0.36,0.27,0.03,4.16,4.25,0.03,granite
328,968,granite,monzogranite,594110,5387,74.91,0.25,12.91,0.98,0.37,0.69,0.03,4.15,3.9,0.05,granite
329,969,granite,monzogranite,600262,5387,75.48,0.13,12.47,0.58,0.14,0.35,0.02,5.07,3.05,0.01,granite
330,970,granite,monzogranite,601303,5387,75.57,0.16,12.52,0.68,0.14,0.36,0.02,4.43,3.4,0.01,granite
331,972,granite,monzogranite,603742,5387,75.8,0.15,13.07,0.56,0.17,0.84,0.03,4.83,3.52,0.01,granite
333,979,granite,monzogranite,612485,5387,76.74,0.2,12.33,0.66,0.45,0.88,0.03,4.29,3.44,0.03,granite
334,980,granite,monzogranite,574175,5387,73.38,0.23,13.91,0.77,0.35,1.39,0.07,4.46,3.98,0.07,granite
335,981,granite,monzogranite,603375,5387,75.77,0.16,13.09,0.64,0.2,0.48,0.03,4.3,3.81,0.05,granite
337,984,granite,monzogranite,613197,5387,76.82,0.16,12.77,0.4,0.14,0.75,0.02,4.11,3.83,0.05,granite
338,985,granite,monzogranite,619591,5387,77.94,0.17,12.43,0.41,0.15,0.34,0.02,4.83,3.3,0.05,granite
339,986,granite,monzogranite,622285,5387,79.06,0.12,12.27,0.44,0.05,0.35,0.01,4.91,3.39,0.04,granite
340,987,granite,monzogranite,580368,5387,73.82,0.2,13.15,1.24,0.34,0.83,0.04,4.49,3.43,0.04,granite
341,989,granite,monzogranite,611505,5387,76.61,0.08,11.96,0.59,0.04,0.48,0.02,5.47,3.19,0.0,granite
342,990,granite,monzogranite,611820,5387,76.67,0.08,12.14,0.57,0.05,0.57,0.01,5.19,3.33,0.0,granite
382,1101,bt-mus granite,monzogranite,574982,5254,73.42,0.16,14.76,0.27,0.28,1.48,0.05,4.05,4.09,0.05,granite
383,1110,mus granite,monzogranite,594501,5254,74.97,0.19,14.48,0.29,0.09,1.12,0.01,4.5,3.64,0.05,granite
394,1169,leucocratic bt-hb granite,monzogranite,597945,5254,75.26,0.23,12.4,0.95,0.36,1.29,0.03,4.67,3.37,0.03,granite
410,1263,granitoid,monzogranite,497021,4989,67.14,0.51,15.34,3.91,1.59,1.34,0.09,4.23,4.24,0.18,granite
411,1264,granitoid,monzogranite,421441,4989,60.66,0.89,15.92,7.41,3.19,0.79,0.19,4.62,1.71,0.17,granite
412,1271,quartz porphyry (stock),syenogranite,609216,2240,76.37,0.08,12.46,0.78,0.15,0.12,0.01,5.96,0.81,0.13,granite
413,1272,quartz porphyry (dike bottom),syenogranite,607175,2240,76.14,0.25,13.19,0.57,0.14,0.11,0.01,4.89,1.24,0.09,granite
414,1275,quartz porphyry (dike roof),syenogranite,594080,2240,74.91,0.11,13.02,0.97,0.09,0.58,0.07,5.84,0.9,0.14,granite
415,1277,quartz porphyry (dike bottom),syenogranite,589004,2240,74.5,0.2,12.84,0.81,0.18,0.84,0.09,5.9,1.06,0.11,granite
416,1278,granite porphyry,monzogranite,532141,2240,70.15,0.64,13.87,1.05,0.99,1.96,0.07,3.29,2.56,0.14,granite
419,1460,bt granite,monzogranite,592255,5380,74.79,0.1,13.04,0.08,0.32,1.15,0.09,3.85,3.4,0.04,granite
420,1462,bt granite,monzogranite,594144,5380,74.92,0.1,13.16,0.04,0.2,1.42,0.08,3.76,3.71,0.04,granite
421,1463,bt granite,monzogranite,584810,5380,74.19,0.09,13.73,0.06,0.23,1.19,0.08,3.84,4.05,0.03,granite
422,1464,bt granite,monzogranite,605242,5254,75.96,0.11,12.97,0.3,0.21,1.17,0.07,3.6,3.59,0.03,granite
423,1465,bt granite,monzogranite,603416,5380,75.78,0.1,12.54,0.14,0.19,1.09,0.08,4.01,3.48,0.03,granite
424,1466,bt granite,monzogranite,610656,5380,76.51,0.06,12.49,0.21,0.11,0.66,0.05,4.77,3.54,0.02,granite
425,1467,bt granite,monzogranite,611002,5380,76.58,0.04,12.37,0.02,0.1,0.37,0.05,5.21,3.33,0.02,granite
426,1468,bt granite,monzogranite,612779,5380,76.8,0.04,12.37,0.03,0.09,0.45,0.06,5.56,3.03,0.02,granite
427,1630,bt adamellite,monzogranite,554918,5380,71.94,0.22,14.35,0.37,0.69,1.92,0.06,4.34,3.16,0.07,granite
428,1631,bt adamellite,monzogranite,561981,5380,72.49,0.22,14.0,1.51,0.57,1.01,0.06,4.02,2.46,0.03,granite
429,1632,bt adamellite,monzogranite,552974,5380,71.8,0.28,13.73,1.92,0.72,1.01,0.07,4.34,2.35,0.04,granite
441,1822,quartz diorite,diorite,375898,5380,57.15,0.14,25.67,0.26,0.34,9.39,0.01,0.27,5.98,0.04,diorite
499,2410,2-mica granite,monzogranite,565406,5233,72.71,0.16,14.18,0.62,0.45,1.34,0.05,4.18,3.28,0.2,granite
500,2411,2-mica granite,monzogranite,603481,5233,75.79,0.12,13.25,0.22,0.14,0.45,0.04,5.0,3.2,0.03,granite
501,2414,opx-2-mica granite,monzogranite,535943,5233,70.48,0.34,14.13,0.5,1.2,2.32,0.05,3.66,3.38,0.1,granite
502,2415,opx-2-mica granite,monzogranite,543384,5233,71.05,0.35,14.26,0.4,0.92,1.75,0.03,3.54,3.43,0.04,granite
503,2416,opx-2-mica granite,monzogranite,590555,5233,74.61,0.16,13.54,0.21,0.22,0.82,0.03,5.41,2.95,0.03,granite
504,2417,opx-2-mica granite,monzogranite,605370,5233,75.98,0.12,13.3,0.27,0.2,0.92,0.02,4.55,3.11,0.03,granite
505,2418,2-mica granitic porphyry,monzogranite,576915,5233,73.59,0.23,13.48,0.46,0.33,1.27,0.05,4.11,3.14,0.03,granite
506,2523,granite,monzogranite,592551,5230,74.8,0.16,12.59,0.47,0.37,0.63,0.02,4.74,3.3,0.03,granite
507,2525,granite,monzogranite,498864,5230,67.3,0.63,14.87,0.26,1.22,3.4,0.07,3.9,3.29,0.19,granite
508,2526,granitic porphyrite,monzogranite,515984,5230,68.8,0.65,14.61,1.08,1.21,1.68,0.06,3.79,2.95,0.23,granite
509,2527,granitic porphyrte,monzogranite,518374,5230,69.0,0.7,14.22,0.36,1.18,1.84,0.06,3.66,3.01,0.21,granite
510,2529,granite,monzogranite,539142,5230,70.7,0.68,13.99,1.23,1.47,1.95,0.08,3.25,2.35,0.16,granite
511,2531,granite,monzogranite,486814,5230,66.2,0.68,15.28,1.24,1.21,2.67,0.09,3.84,3.05,0.29,granite
512,2532,granite,monzogranite,493385,5230,66.8,0.63,15.32,0.41,1.05,3.14,0.07,4.06,3.34,0.24,granite
513,2534,granite,monzogranite,575924,5230,73.5,0.22,13.64,0.46,0.51,1.78,0.04,4.52,2.96,0.06,granite
514,2535,granite,monzogranite,597084,5230,75.2,0.06,13.99,0.36,0.44,0.57,0.05,4.75,3.44,0.02,granite
515,2536,granite,monzogranite,537746,5230,70.6,0.4,14.39,0.56,0.64,1.62,0.03,4.51,2.89,0.16,granite
516,2537,granite,monzogranite,495603,5230,67.0,0.68,15.17,0.68,1.47,3.01,0.07,3.77,2.87,0.22,granite
517,2539,granitic porphyrite,monzogranite,505238,5230,67.9,0.15,15.0,0.81,0.7,0.59,0.03,4.22,2.99,0.11,granite
518,2541,porphyritic bt granite,monzogranite,564428,5254,72.66,0.23,13.93,0.51,0.59,1.31,0.06,4.0,3.75,0.06,granite
519,2543,granite,monzogranite,524193,5230,69.5,0.53,14.51,0.2,0.93,2.32,0.06,3.95,3.33,0.22,granite
520,2544,granite,monzogranite,535336,5230,70.4,0.55,14.48,0.33,0.99,2.18,0.07,3.91,3.07,0.19,granite
521,2545,granite,monzogranite,535320,5230,70.4,0.53,14.95,0.51,0.93,2.29,0.06,3.72,3.39,0.23,granite
522,2546,granite,monzogranite,548121,5230,71.4,0.43,14.46,0.37,0.8,2.24,0.05,3.87,3.39,0.16,granite
523,2548,porphyritic bt granite,monzogranite,568687,5254,72.98,0.2,13.93,0.19,0.33,1.16,0.05,5.25,3.68,0.05,granite
524,2549,porphyritic bt granite,monzogranite,578082,5254,73.67,0.28,13.17,0.67,0.58,1.4,0.06,3.67,3.35,0.07,granite
525,2550,porphyritic bt granite,monzogranite,515285,5254,68.76,0.26,15.8,0.73,0.73,1.75,0.06,4.45,4.18,0.07,granite
526,2551,porphyritic bt granite,monzogranite,524422,5254,69.52,0.24,15.43,0.94,0.51,1.33,0.06,5.55,3.9,0.06,granite
527,2552,porphyritic bt granite,monzogranite,576578,5254,73.55,0.18,13.49,0.49,0.44,1.13,0.04,4.99,3.28,0.04,granite
528,2553,porphyritic bt granite,monzogranite,571240,5254,73.15,0.18,13.88,0.17,0.32,1.25,0.06,4.74,3.44,0.05,granite
529,2554,porphyritic bt granite,monzogranite,539338,5254,70.73,0.25,14.68,0.57,0.51,1.25,0.07,5.2,3.63,0.06,granite
530,2555,porphyritic bt granite,monzogranite,549985,5254,71.56,0.37,13.43,1.58,0.84,1.96,0.07,4.27,2.97,0.12,granite
531,2556,porphyritic bt granite,monzogranite,564682,5254,72.69,0.24,14.13,0.0,0.4,1.46,0.06,5.21,3.37,0.11,granite
532,2557,porphyritic bt granite,monzogranite,514188,5254,68.66,0.48,14.91,0.92,0.95,2.33,0.11,4.06,3.34,0.17,granite
533,2558,porphyritic bt granite,monzogranite,560507,5254,72.37,0.27,13.62,0.09,0.68,1.09,0.07,3.99,3.45,0.11,granite
534,2559,porphyritic bt granite,monzogranite,583103,5254,74.03,0.18,13.32,0.4,0.55,1.04,0.05,4.47,3.3,0.07,granite
535,2560,porphyritic bt granite,monzogranite,535509,5254,70.42,0.19,14.58,0.0,0.54,1.42,0.06,4.97,3.77,0.07,granite
536,2561,porphyritic bt granite,monzogranite,555284,5254,71.99,0.18,14.25,0.39,0.64,1.04,0.06,5.13,3.37,0.07,granite
537,2562,medium-grained bt granite,monzogranite,569894,5254,73.05,0.26,13.72,0.23,0.56,1.38,0.08,4.91,3.23,0.07,granite
538,2563,medium-grained bt granite,monzogranite,569584,5254,73.01,0.23,13.62,0.33,0.37,1.16,0.03,5.32,3.23,0.05,granite
539,2564,fine-grained bt granite,monzogranite,547350,5254,71.36,0.3,14.36,0.48,0.4,1.34,0.04,5.47,3.32,0.08,granite
540,2565,fine-grained bt granite,monzogranite,540580,5254,70.82,0.45,14.48,0.83,0.36,1.06,0.08,5.79,3.35,0.13,granite
541,2566,gar-2-mica granite,monzogranite,611954,5254,76.7,0.03,13.08,0.0,0.08,0.36,0.13,4.58,3.72,0.03,granite
542,2567,gar-2-mica granite,monzogranite,603152,5254,75.74,0.04,13.35,0.0,0.1,0.41,0.08,4.57,3.87,0.04,granite
543,2568,2-mica granite,monzogranite,590601,5254,74.62,0.06,13.36,0.0,0.21,0.4,0.04,5.04,3.63,0.09,granite
544,2569,2-mica granite,monzogranite,600956,5254,75.52,0.07,13.11,0.41,0.1,0.57,0.03,4.53,4.02,0.05,granite
559,2988,bt granite,monzogranite,610919,5254,76.56,0.03,12.26,0.52,0.39,0.98,0.03,5.36,2.27,0.03,granite
560,2989,bt granite,monzogranite,614185,5254,76.95,0.22,12.17,0.52,0.45,0.85,0.04,5.32,2.34,0.02,granite
561,2991,bt-hbl qz monzonite,monzogranite,591757,5254,74.72,0.21,12.68,1.24,0.55,1.35,0.04,4.56,2.96,0.04,granite
573,3247,cpx bearing hb-bt adamellite,monzogranite,494656,5385,66.92,0.4,15.74,1.66,1.34,3.3,0.07,4.48,3.11,0.08,granite
574,3248,cpx bearing hb-bt adamellite,monzogranite,547244,5385,71.35,0.23,14.75,1.1,0.67,2.34,0.05,4.46,3.04,0.05,granite
575,3373,hb-bt monzogranite,monzogranite,534756,5254,70.39,0.3,14.99,1.53,1.1,2.69,0.07,3.92,3.28,0.08,granite
576,3394,bt-hbl granodiorite,monzogranite,507563,5254,68.09,0.47,15.48,1.4,1.2,3.23,0.08,3.47,2.58,0.09,granite
577,3396,bt-hbl granodiorite,monzogranite,547422,5254,71.37,0.32,13.5,0.96,0.83,2.22,0.05,4.27,2.63,0.06,granite
578,3397,bt-hbl granodiorite,monzogranite,562697,5380,72.51,0.4,13.75,0.87,0.91,1.93,0.04,4.69,2.52,0.07,granite
579,3398,aprite,monzogranite,619686,5254,77.99,0.08,13.1,0.22,0.19,0.67,0.02,5.11,2.85,0.02,granite
588,3707,high-ce alkaline rocks,diorite,117373,5376,47.44,3.06,15.1,6.14,6.15,3.36,0.33,0.37,4.62,0.31,diorite
589,3713,low-ce alkaline rocks and high-alkali tholeiites,diorite,233534,5376,50.5,1.64,13.49,3.2,7.15,7.15,0.21,0.34,3.87,0.14,diorite
590,3715,low-ce alkaline rocks and high-alkali tholeiites,diorite,252859,5376,50.91,1.74,15.02,3.98,3.76,10.47,0.16,0.5,4.09,0.18,diorite
591,3726,high-ce alkaline rocks,diorite,390158,5376,58.22,1.69,17.23,6.17,1.29,3.05,0.13,0.84,7.5,0.31,diorite
592,3732,low-ce alkaline rocks and high-alkali tholeiites,diorite,203679,5391,49.88,1.95,13.11,9.95,3.72,6.84,1.42,0.33,4.7,0.2,diorite
628,4052,bt granite,monzogranite,593452,5254,74.89,0.1,13.68,0.02,0.21,1.46,0.01,5.57,2.75,0.02,granite
629,4053,bt granite,monzogranite,602006,5254,75.62,0.12,12.92,0.04,0.25,1.18,0.02,5.26,2.69,0.02,granite
630,4054,bt granite,monzogranite,604116,5254,75.83,0.07,13.22,0.02,0.16,1.25,0.02,5.37,2.79,0.01,granite
631,4055,bt granite,monzogranite,611497,5254,76.61,0.05,13.29,0.02,0.08,1.27,0.01,3.85,3.92,0.0,granite
632,4067,bt granite,monzogranite,607275,5254,76.16,0.09,12.94,0.26,0.24,0.92,0.03,4.64,3.58,0.01,granite
633,4068,2-mica aplite ,monzogranite,614838,5254,77.02,0.05,12.97,0.19,0.11,0.32,0.04,4.57,4.38,0.0,granite
634,4075,fresh granodiorite,monzogranite,538058,5254,70.62,0.27,15.12,0.29,0.45,2.01,0.03,3.98,3.83,0.07,granite
635,4084,white-altered granodiorite,monzogranite,518797,5254,69.05,0.57,16.67,1.67,0.33,0.34,0.04,5.33,2.01,0.14,granite
636,4085,white-altered granodiorite,monzogranite,524803,5254,69.57,0.56,15.55,1.42,0.26,0.76,0.13,4.48,3.17,0.15,granite
637,4086,white-altered granodiorite,monzogranite,539252,5254,70.71,0.5,16.28,0.45,0.17,0.75,0.01,4.93,3.53,0.07,granite
638,4087,white-altered granodiorite,monzogranite,553364,5254,71.81,0.31,15.24,0.15,0.17,0.69,0.03,4.61,4.11,0.08,granite
639,4090,white-altered granodiorite,monzogranite,557614,5254,72.13,0.33,14.79,0.34,0.2,0.84,0.09,4.84,3.21,0.09,granite
640,4092,brownish white-altered granodiorite,monzogranite,520481,5254,69.2,0.42,15.54,3.8,0.34,0.14,0.31,4.07,3.35,0.09,granite
641,4093,brownish white-altered granodiorite,syenogranite,529588,5254,69.98,0.56,16.67,1.56,0.35,0.19,0.05,5.63,1.23,0.09,granite
642,4094,brownish white-altered granodiorite,monzogranite,535321,5254,70.4,0.53,15.59,1.85,0.22,0.47,0.02,4.01,3.58,0.18,granite
643,4095,brownish white-altered granodiorite,monzogranite,548399,5254,71.42,0.45,15.57,1.9,0.23,0.41,0.05,4.39,2.67,0.08,granite
644,4096,brownish white-altered granodiorite,monzogranite,555168,5254,71.97,0.29,14.77,0.68,0.5,0.66,0.02,4.24,3.6,0.07,granite
682,4490,bt rhyolite,monzogranite,560065,5232,72.32,0.13,13.76,0.71,0.19,1.06,0.03,4.63,3.68,0.07,granite
683,4493,bt rhyolite,monzogranite,460889,5236,63.89,0.72,15.21,1.49,1.71,2.88,0.04,3.9,2.57,0.19,granite
684,4498,bt rhyolite,monzogranite,530870,5236,70.05,0.4,13.76,1.46,0.62,1.61,0.05,3.86,3.38,0.09,granite
685,4499,bt rhyolite,monzogranite,569561,5232,73.01,0.1,13.29,0.79,0.04,1.12,0.03,4.38,3.61,0.15,granite
686,4500,bt granodiorite porphyry,monzogranite,475574,5236,65.19,0.71,14.8,1.15,1.42,3.61,0.04,3.82,3.14,0.1,granite
687,4504,bt adamellite porphyry,monzogranite,561533,5232,72.43,0.2,14.15,0.8,0.36,1.25,0.03,4.46,3.72,0.06,granite
688,4505,bt adamellite porphyry,monzogranite,585924,5236,74.26,0.25,12.33,2.04,0.46,0.74,0.04,4.45,3.04,0.21,granite
699,4582,hb-bearing bt granodiorite,monzogranite,513826,5233,68.61,0.32,15.67,0.75,0.9,2.79,0.09,4.12,3.69,0.11,granite
700,4584,bt aplite,monzogranite,550516,5233,71.6,0.29,14.01,0.49,0.38,1.96,0.05,4.77,3.47,0.08,granite
701,4603,red pitchstone,monzogranite,481962,5391,65.77,0.74,14.92,3.91,1.98,0.86,0.38,3.27,2.41,0.24,granite
702,4604,crystallized tuff,monzogranite,518707,5391,69.04,0.28,16.57,0.86,0.65,0.66,0.03,4.02,4.5,0.04,granite
703,4608,tuff,syenogranite,596612,5391,75.13,0.12,10.98,1.26,1.28,1.53,0.14,4.66,0.57,0.72,granite
713,4793,2-mica geanite,monzogranite,537178,5254,70.57,0.39,15.4,0.73,0.66,2.05,0.09,4.72,3.19,0.15,granite
714,4794,2-mica geanite,monzogranite,543105,5380,71.01,0.35,15.17,0.62,0.57,1.56,0.08,5.13,3.06,0.14,granite
715,4795,2-mica geanite,monzogranite,550195,5380,71.59,0.29,14.74,0.49,0.67,1.55,0.05,4.63,3.31,0.12,granite
716,4796,2-mica geanite,monzogranite,552609,5380,71.79,0.25,14.73,0.39,0.6,1.38,0.05,5.27,3.04,0.12,granite
717,4797,2-mica geanite,monzogranite,562991,5380,72.55,0.29,14.82,0.63,0.88,1.48,0.06,4.85,2.99,0.12,granite
718,4798,2-mica geanite,monzogranite,565741,5380,72.75,0.25,14.4,0.44,0.85,1.31,0.05,4.72,2.93,0.11,granite
719,4799,2-mica geanite,monzogranite,566807,5380,72.81,0.3,14.61,0.45,0.85,1.62,0.05,4.57,2.93,0.11,granite
720,4800,2-mica geanite,monzogranite,567897,5380,72.9,0.28,14.78,0.26,0.83,1.37,0.04,4.87,3.07,0.11,granite
721,4801,2-mica geanite,monzogranite,571113,5380,73.13,0.29,14.83,0.42,0.88,1.51,0.05,4.95,2.94,0.12,granite
722,4802,2-mica geanite,monzogranite,572685,5254,73.26,0.23,14.55,0.49,0.57,1.23,0.04,4.69,3.27,0.09,granite
723,4803,2-mica geanite,monzogranite,579017,5380,73.72,0.21,14.18,0.52,0.46,0.67,0.05,4.75,3.13,0.09,granite
724,4805,2-mica geanite,monzogranite,586042,5254,74.28,0.15,14.29,0.63,0.4,0.7,0.08,4.78,3.6,0.12,granite
725,4807,2-mica geanite,monzogranite,591730,5380,74.72,0.11,14.31,0.22,0.29,0.65,0.03,4.62,2.67,0.13,granite
726,4808,2-mica geanite,monzogranite,593467,5254,74.89,0.16,14.55,0.17,0.38,1.18,0.04,4.45,3.69,0.1,granite
727,4809,2-mica geanite,monzogranite,560661,5254,72.39,0.3,14.32,0.69,0.53,1.74,0.08,3.59,3.51,0.1,granite
728,4810,2-mica geanite,monzogranite,572367,5254,73.22,0.14,14.38,0.36,0.44,0.69,0.07,4.56,3.28,0.11,granite
729,4811,2-mica geanite,monzogranite,574092,5254,73.37,0.18,14.55,0.37,0.48,0.56,0.04,4.95,3.23,0.09,granite
730,4812,2-mica geanite,monzogranite,574440,5380,73.4,0.14,14.47,0.39,0.45,0.74,0.04,4.84,3.32,0.08,granite
731,4813,2-mica geanite,monzogranite,578139,5380,73.68,0.2,14.13,0.27,0.39,1.09,0.08,5.3,3.21,0.07,granite
732,4814,2-mica geanite,monzogranite,580277,5380,73.81,0.17,14.21,0.43,0.47,0.88,0.04,5.03,2.97,0.07,granite
733,4815,2-mica geanite,monzogranite,580758,5380,73.87,0.2,14.22,0.51,0.55,0.93,0.05,4.91,3.18,0.07,granite
734,4816,2-mica geanite,monzogranite,581390,5254,73.9,0.27,14.41,0.58,0.84,1.63,0.05,3.76,3.3,0.11,granite
735,4817,2-mica geanite,monzogranite,584845,5380,74.19,0.22,14.22,0.53,0.75,0.92,0.03,5.23,2.71,0.07,granite
736,4823,2-mica geanite,monzogranite,552554,5380,71.78,0.34,14.95,0.62,0.77,1.61,0.07,3.45,3.59,0.16,granite
737,4826,2-mica geanite,monzogranite,570643,5380,73.1,0.26,14.54,0.61,0.46,1.18,0.08,4.78,3.55,0.14,granite
738,4827,2-mica geanite,monzogranite,571022,5254,73.12,0.21,14.53,0.43,0.51,0.79,0.05,4.93,3.18,0.12,granite
739,4828,2-mica geanite,monzogranite,574273,5380,73.39,0.32,14.65,0.34,0.83,1.55,0.05,4.01,3.0,0.1,granite
740,4830,2-mica geanite,monzogranite,576375,5254,73.52,0.27,14.52,0.45,0.82,1.54,0.05,3.71,3.35,0.09,granite
741,4831,2-mica geanite,monzogranite,580387,5380,73.82,0.27,14.6,0.08,0.45,1.29,0.04,4.95,3.01,0.1,granite
742,4832,2-mica geanite,monzogranite,585981,5380,74.27,0.19,14.02,0.46,0.37,0.93,0.08,5.15,3.18,0.09,granite
743,4833,2-mica geanite,monzogranite,591824,5380,74.73,0.19,14.25,0.0,0.76,1.01,0.04,5.11,2.83,0.06,granite
744,4837,4-mica granite,monzogranite,581909,5254,73.95,0.18,13.92,0.09,0.42,1.29,0.07,4.79,3.41,0.05,granite
745,4838,5-mica granite,monzogranite,583479,5254,74.08,0.22,14.74,0.23,0.81,1.31,0.05,3.8,3.49,0.06,granite
746,4839,6-mica granite,monzogranite,585510,5254,74.21,0.18,14.06,0.41,0.4,0.77,0.08,4.95,3.27,0.1,granite
747,4840,7-mica granite,monzogranite,585589,5254,74.22,0.22,14.65,0.23,0.45,1.55,0.06,4.05,3.15,0.08,granite
748,4862,qz diorite dike,diorite,359652,5380,55.96,0.98,14.69,6.97,5.77,7.69,0.13,1.01,4.71,0.38,diorite
749,4868,bt granodiorite,monzogranite,556240,5380,72.03,0.28,14.08,2.55,0.46,2.13,0.04,3.65,3.31,0.07,granite
